CI Aql    2451725.00     61.   12.25 0.08    6
CI Aql    2451727.00     63.   12.42 0.04   13
CI Aql    2451729.00     65.   12.54 0.09    7
CI Aql    2451731.00     67.   12.64 0.09    5
CI Aql    2451733.00     69.   12.59 0.07    9
CI Aql    2451735.00     71.   12.68 0.10   10
CI Aql    2451737.00     73.   12.93 0.05   11
CI Aql    2451739.00     75.   13.10 0.02   12
CI Aql    2451743.00     79.   13.32 0.02   26
CI Aql    2451745.00     81.   13.22 0.04   20
CI Aql    2451747.00     83.   13.41 0.05   11
CI Aql    2451749.00     85.   13.38 0.08    4
CI Aql    2451754.00     90.   13.61 0.06   39
CI Aql    2451762.00     98.   13.49 0.04   42
CI Aql    2451770.00    106.   13.62 0.05   10
CI Aql    2451778.00    114.   13.56 0.03   34
CI Aql    2451786.00    122.   13.63 0.03   28
CI Aql    2451794.00    130.   13.76 0.05   25
CI Aql    2451802.00    138.   13.72 0.07   10
CI Aql    2451810.00    146.   13.78 0.03   21
CI Aql    2451818.00    154.   13.78 0.05   27
CI Aql    2451826.00    162.   13.98 0.09   12
CI Aql    2451834.00    170.   13.92 0.05   34
CI Aql    2451842.00    178.   13.89 0.14   12
CI Aql    2451850.00    186.   14.11 0.15    7
CI Aql    2451858.00    194.   13.90 0.15    1
CI Aql    2451866.00    202.   14.05 0.11    2
CI Aql    2451874.00    210.   14.20 0.15    1
CI Aql    2451882.00    218.   14.30 0.15    1
CI Aql    2451950.00    286.   14.00 0.15    1
CI Aql    2451982.00    318.   14.50 0.15    1
CI Aql    2452014.00    350.   14.84 0.07    5
CI Aql    2452046.00    382.   14.82 0.09   10
CI Aql    2452078.00    414.   15.35 0.11    2
CI Aql    2452110.00    446.   15.02 0.10    6
CI Aql    2452142.00    478.   15.40 0.15    1
CI Aql    2452174.00    510.   14.80 0.15    1
CI Aql    2452510.00    846.   16.00 0.02   10
CI Aql    2452894.00   1230.   16.08 0.07   50
DO Aql    2424414.00      2.    9.01 0.11    2
DO Aql    2424418.00      6.    9.11 0.09    3
